cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1514926,C1522485,NEG_INTERACTS_WITH,Retroviral Vector,Tracer,nnon,irda,1,NEG_INTERACTS_WITH_NNONnitawIRDA
C2930586,C1522485,NEG_INTERACTS_WITH,Short Hairpin RNA,Tracer,nnon,irda,1,NEG_INTERACTS_WITH_NNONnitawIRDA
