cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006826,C0752326,AFFECTS,Malignant Neoplasms,Reishi mushroom,neop,fngs,1,AFFECTS_NEOPafctFNGS
C0027627,C0016832,AFFECTS,Neoplasm Metastasis,Fungi,neop,fngs,1,AFFECTS_NEOPafctFNGS
C0686377,C0369241,AFFECTS,CNS metastases,Filamentous fungus,neop,fngs,1,AFFECTS_NEOPafctFNGS
