cui,type,name
C0001967,food,Alcoholic Beverages
C0003050,food,Animal feed (substance)
C0004722,food,Banana
C0004896,food,Beans (food)
C0004922,food,Beer
C0005135,food,Berries
C0005329,food,Beverages
C0006138,food,Bread
C0006494,food,Butter
C0006855,food,Candy
C0007757,food,Cereals
C0007968,food,Cheese
C0009237,food,Coffee
C0010029,food,corn oil
C0010947,food,Dairy Products
C0012155,food,Diet
C0012173,food,Dietary Fiber
C0012176,food,Dietary Oils
C0013710,food,Egg Food Product
C0016158,food,Fish Products
C0016260,food,Flour
C0016452,food,Food
C0016453,food,Food Additives
C0016494,food,"Food, Canned"
C0016499,food,"Food, Irradiated"
C0016739,food,Frozen Foods
C0016767,food,Fruit
C0018208,food,Grapes (Dietary)
C0019906,food,Honey
C0023754,food,linseed oil
C0024798,food,Margarine
C0025017,food,Meat
C0025018,food,Meat Products
C0026370,food,molasses
C0028723,food,Nuts
C0028753,food,Oats (Dietary)
C0029035,food,Onions
C0032099,food,"Plants, Edible"
C0032846,food,Potato
C0032852,food,Poultry Products
C0036048,food,safflower oil
C0037732,food,soybean oil
C0037733,food,Soybeans
C0037910,food,Spices
C0039400,food,Tea
C0042438,food,Vegetable Oils
C0042440,food,Vegetables
C0043188,food,Wine
C0043419,food,Yogurt
C0052300,food,peanut oil
C0054599,food,canola oil
C0056060,food,coconut oil
C0069449,food,olive oil
C0069962,food,palm oil
C0070325,food,peppermint oil
C0075639,food,sunflower oil
C0078479,food,Whey Proteins
C0150589,food,Infant formula
C0162750,food,Black Pepper
C0206136,food,"Sodium Chloride, Dietary"
C0206208,food,Seafood
C0242295,food,Dietary Supplements
C0242772,food,Tomatoes
C0282678,food,"Food, Organic"
C0282679,food,Health food
C0301611,food,distilled alcoholic beverage
C0304108,food,lemon oil
C0308944,food,Oral electrolyte solution
C0311119,food,Food particle
C0331591,food,Chives (dietary)
C0331595,food,Leeks (dietary)
C0344355,food,Fast Foods
C0349371,food,Red wine
C0349374,food,Cow's milk
C0349380,food,Potato chips
C0349966,food,Figs - dietary
C0359583,food,Enrich (product)
C0440277,food,Orange (fruit)
C0440286,food,Almond Nut
C0440289,food,Pecan nut
C0440466,food,Hen's egg
C0444615,food,Sugar - food
C0446306,food,Bell Pepper
C0452263,food,Vodka
C0452428,food,Drink (dietary substance)
C0452440,food,Tea without milk
C0452454,food,apple juice
C0452456,food,grapefruit juice
C0452458,food,orange juice
C0452566,food,frosties
C0452597,food,Cake
C0452627,food,Swiss roll
C0452703,food,Pastry
C0452710,food,brown rice
C0452712,food,White rice
C0452717,food,Whole milk
C0452742,food,Formula milk
C0452823,food,Dried egg
C0452848,food,Red Meat
C0452858,food,Roast beef
C0452867,food,Pork
C0452885,food,Veal
C0452888,food,Poultry Meat
C0452909,food,Offal
C0452945,food,Sausage
C0452956,food,Processed meat
C0453017,food,Fatty fish
C0453018,food,Bacha
C0453108,food,Artichoke
C0453111,food,Aubergine
C0453233,food,Tofu
C0453257,food,Fenugreek seed
C0453268,food,Fresh fruit
C0453296,food,Dried fruit
C0453309,food,Prunes
C0453349,food,Peanut butter
C0453447,food,Sugar candy
C0453577,food,Pizza
C0453740,food,Salads
C0453753,food,Potato salad
C0453801,food,Chinese food
C0453803,food,High carbohydrate food
C0453826,food,Cold food
C0453829,food,Fresh food
C0453831,food,High energy food
C0453834,food,Contaminated food
C0453847,food,Clear fluid
C0453855,food,Solid food
C0453857,food,Nutritious food
C0453858,food,Protein food
C0453860,food,Raw Foods
C0453861,food,Rich food
C0453863,food,Snacks
C0453864,food,Spicy food
C0457802,food,Strawberries
C0458214,food,Pretzels
C0458975,food,Hominy
C0459798,food,Cold drink
C0475638,food,Low glycemic index food
C0597423,food,Saturated fat
C0677521,food,Chicken Meat
C0678386,food,ale beer
C0678420,food,Cocktail
C0678424,food,Vanilla extract
C0678695,food,Nutrients
C0681562,food,food product
C0681574,food,sugar cane
C0681578,food,junk food
C0681579,food,Vitamin supplement
C0700385,food,Dairy Cream
C0721124,food,Iron Supplement
C0740044,food,natural supplements
C0771806,food,soya flour
C0936050,food,Cranberries (Dietary)
C0938430,food,sea salt
C0947697,food,Accent
C0949399,food,Peanuts - dietary
C0950037,food,Blueberries
C0950154,food,"Food, Genetically Modified"
C0973452,food,Kidney Bean (Dietary)
C1095830,food,Apple
C1122976,food,Sage - dietary
C1138602,food,Pecans
C1257879,food,Trans Fatty Acids
C1262899,food,Rosemary
C1268568,food,Juice
C1305741,food,Dry food
C1327962,food,pomegranate juice
C1510451,food,French fries
C1518478,food,Nutraceuticals
C1532525,food,Fortified milk
C1706946,food,Bioactive Food Component
C1875696,food,PRO-PEPTIDE
C1875723,food,REGAIN
C2346926,food,Macronutrient
C2348897,food,Green leafy vegetable
C2362517,food,Monounsaturated fat
C2717755,food,Functional Food
C2936470,food,Synbiotics
C2947019,food,Pivot
C3489624,food,Soft Drinks
C3531069,food,carrot juice
C3541352,food,Vitamin D supplement
C3661608,food,Vitamin C supplement
C3661611,food,Vitamin A supplement
C3687546,food,Pasteurized milk
C3827296,food,Carbohydrate Supplement Drink
C3853222,food,Sea urchin - dietary
C3853255,food,Standard formula
C3853288,food,High protein formula
C4084254,food,REPLETE
C4477479,food,NOURISH
C4543503,food,Sandwich
