cui,type,name
C0003063,anim,"Animals, Domestic"
C0003064,anim,"Animals, Laboratory"
C0003065,anim,"Animals, Newborn"
C0003069,anim,"Animals, Transgenic"
C0003070,anim,"Animals, Wild"
C0003071,anim,"Animals, Zoo"
C0012656,anim,Disease Vectors
C0031268,anim,Pet Animal
C0162318,anim,Farm Animals
C0562690,anim,Carnivore
C0562691,anim,Herbivory
C0562693,anim,omnivore
C0596888,anim,mature animal
C0598744,anim,juvenile animal
C0599779,anim,Animal Model
C0682496,anim,parasitic animal
C0682501,anim,Cephalochordata
C0683949,anim,Animal Study
C0684068,anim,higher animals
C0869004,anim,pests
C0887965,anim,Experimental Animal Models
C0887966,anim,Laboratory Animal Models
C0920312,anim,Chordata
C0920362,anim,Animal Infants
C0950152,anim,"Founder Animals, Transgenic"
C0969757,anim,"Animals, Genetically Modified"
C1171353,anim,knockout animal
C1511501,anim,Control Animal
C1516786,anim,Congenic Strain
C1547282,anim,Show
C1563350,anim,Working animal
C2936506,anim,Livestock
C3687489,anim,Animal for breeding
C3853931,anim,Aquatic animal as human food
C4042823,anim,"Animals, Exotic"
C4046054,anim,Exotic Pets
C4086844,anim,Schistosoma Cercariae
C4279977,anim,Sentinel Animals
C4704701,anim,Collaborative Cross Mice
C4704702,anim,Diversity Outbred Mice
C4704857,anim,"Animals, Nondomesticated"
