cui,type,name
C0004388,bdsy,Autonomic nervous system
C0007226,bdsy,Cardiovascular system
C0012240,bdsy,Gastrointestinal system
C0014136,bdsy,Endocrine system
C0017189,bdsy,Gastrointestinal tract structure
C0018796,bdsy,Cardiac conduction system
C0018957,bdsy,Hematopoietic System
C0020962,bdsy,Immune system
C0023715,bdsy,Limbic System
C0024235,bdsy,Lymphatic System
C0026327,bdsy,MNSs Blood-Group System
C0026860,bdsy,Musculoskeletal System
C0027763,bdsy,Nervous system structure
C0027912,bdsy,Neurosecretory Systems
C0030510,bdsy,Parasympathetic Nervous System
C0035096,bdsy,Renin-angiotensin system
C0035237,bdsy,Respiratory System
C0035287,bdsy,Reticuloendothelial System
C0037253,bdsy,Skeletal system
C0039044,bdsy,Sympathetic Nervous System
C0042066,bdsy,Genitourinary system
C0079652,bdsy,Kallikrein-Kinin System
C0086907,bdsy,Renin-Angiotensin-Aldosterone System
C0206111,bdsy,Enteric Nervous System
C0206417,bdsy,Peripheral Nervous System
C0225992,bdsy,Cerebrovascular system
C0226004,bdsy,Arterial system
C0226503,bdsy,Structure of venous network
C0226727,bdsy,Portal Venous System
C0227751,bdsy,Female genitourinary system
C0234686,bdsy,Receptive field
C0242201,bdsy,Hemic System
C0457102,bdsy,Whole breast
C0458579,bdsy,Lower respiratory tract structure
C0460002,bdsy,body system
C0489892,bdsy,Systemic vasculature
C0489903,bdsy,Vascular System
C0587901,bdsy,Auditory system
C0597247,bdsy,pituitary gonadal axis
C0597719,bdsy,hypothalamic-pituitary-adrenal axis
C0598789,bdsy,cardiopulmonary system
C0684095,bdsy,intestinal system
C0700038,bdsy,Female Reproductive System
C0729866,bdsy,Lower urinary tract
C0814026,bdsy,fibrinolytic system
C0815091,bdsy,hypothalamic-pituitary-adrenocortical axis
C0816871,bdsy,Skeleton
C0836186,bdsy,Systemic venous system
C0884309,bdsy,pulmonary system
C0923302,bdsy,Pulmonary capillary bed
C0927196,bdsy,Duct system
C1123023,bdsy,Skin
C1180473,bdsy,Functional system
C1183521,bdsy,Entire musculature
C1267406,bdsy,Venous system
C1267793,bdsy,Mononuclear phagocyte system
C1269563,bdsy,Entire central nervous system
C1281182,bdsy,Entire gastrointestinal tract
C1519817,bdsy,Upper Respiratory System
C1537017,bdsy,gastrointestinal nervous system
C1963704,bdsy,Male Reproductive System
C2350292,bdsy,Stem Cell Niche
C3536733,bdsy,Visual system
C3714787,bdsy,Central Nervous System
C4520765,bdsy,"Skin, Human"
C4704774,bdsy,Glymphatic System
