cui,type,name
C0687682,orgf,sporogenesis
C0699900,orgf,Catabolism
C0814001,orgf,Mineral balance
C0814002,orgf,Neurogenesis
C0856856,orgf,natural menopause
C0870919,orgf,Motor Development
C0870921,orgf,motor performance
C0870922,orgf,motor processes
C0871081,orgf,Physical mobility
C0871354,orgf,sexual reproduction
C0871379,orgf,sleep wake cycle
C0871408,orgf,speech development
C0872193,orgf,immunoreaction
C0887937,orgf,Allograft Tolerance
C0887981,orgf,Graft Tolerance
C0920552,orgf,hormonal regulation
C0949236,orgf,Pulse Pressure
C0950151,orgf,Estrous Cycle
C1135598,orgf,postnatal development
C1136180,orgf,Disease Resistance
C1148523,orgf,Childbirth
C1154349,orgf,mating behavior
C1154613,orgf,sweet taste perception
C1154962,orgf,photosynthetic acclimation
C1154978,orgf,cold acclimation
C1154988,orgf,defense response
C1155250,orgf,immunoglobulin mediated immune response
C1155281,orgf,systemic acquired resistance
C1155285,orgf,virus induced gene silencing (VIGS)
C1155328,orgf,Antiviral Response
C1157268,orgf,cuticle development
C1159366,orgf,regulated exocytosis
C1160087,orgf,embryonic morphogenesis
C1160119,orgf,limb morphogenesis
C1160177,orgf,reproductive fruiting body development
C1160185,orgf,Viral Transduction
C1160189,orgf,seed germination
C1160209,orgf,larval development
C1160401,orgf,Skeletal Development
C1160421,orgf,Pattern Formation
C1160453,orgf,post-embryonic development
C1160618,orgf,molting cycle
C1160637,orgf,water homeostasis
C1256755,orgf,Postural Balance
C1258016,orgf,"Inotropism, Cardiac"
C1260875,orgf,mating
C1260923,orgf,Respiratory movement
C1282173,orgf,24 hour blood pressure
C1286104,orgf,Dietary intake
C1290944,orgf,"Bowel control, function"
C1314680,orgf,"Non-human parturition, function"
C1326539,orgf,somitogenesis
C1326578,orgf,pupation
C1326743,orgf,flower development
C1327413,orgf,cytokine production
C1327441,orgf,negative regulation of inflammatory response
C1327458,orgf,regulation of immune response
C1327461,orgf,hair cycle
C1327462,orgf,hair regression
C1327463,orgf,hair shedding
C1327471,orgf,nervous system process
C1327633,orgf,phage assembly
C1373181,orgf,Plasma Metabolism
C1389686,orgf,Uncomplicated delivery
C1442959,orgf,Nutrition function
C1510835,orgf,Aging-Related Process
C1516002,orgf,Antibacterial Response
C1516559,orgf,Circulatory Process
C1522786,orgf,Pollination
C1523019,orgf,circadian behavior
C1523351,orgf,tissue homeostasis
C1523544,orgf,hair follicle morphogenesis
C1523776,orgf,surfactant homeostasis
C1523925,orgf,primary metabolic process
C1523928,orgf,lipid digestion
C1523943,orgf,protein digestion
C1561987,orgf,Homeostatic mechanism
C1563744,orgf,Lipogenesis
C1563755,orgf,"Metabolic Detoxication, Phase II"
C1621285,orgf,angiotensin maturation
C1621922,orgf,somatic embryogenesis
C1622213,orgf,scab formation
C1622398,orgf,diet induced thermogenesis
C1622949,orgf,brain renin-angiotensin system
C1623210,orgf,heat generation
C1625149,orgf,muscle plasticity
C1654934,orgf,Immune Evasion
C1658613,orgf,skeletal system morphogenesis
C1660152,orgf,developmental growth
C1662975,orgf,heat dissipation
C1720746,orgf,Animal Nutritional Physiological Phenomena
C1720755,orgf,Child Nutritional Physiological Phenomena
C1720826,orgf,Adolescent Nutritional Physiological Phenomena
C1720845,orgf,Maternal Nutritional Physiological Phenomena
C1720900,orgf,Heterotrophic Processes
C1749719,orgf,Adaptive Immune Response
C1752426,orgf,developmental timing
C1752460,orgf,Salt Tolerance
C1752855,orgf,interspecies competition
C1752856,orgf,Host-Pathogen Interactions
C1753304,orgf,blood pressure homeostasis
C1817201,orgf,tissue maintenance
C1817749,orgf,T cell cytokine production
C1817762,orgf,hepatic immune response
C1817907,orgf,T cell mediated immunity
C1817917,orgf,peripheral tolerance induction
C1817919,orgf,germinal center formation
C1818113,orgf,medulla oblongata morphogenesis
C1818633,orgf,menstrual cycle phase
C1818983,orgf,negative regulation of appetite
C1819194,orgf,myelin formation
C1819426,orgf,chemokine production
C1819428,orgf,granulocyte macrophage colony-stimulating factor production
C1819430,orgf,type I interferon production
C1819431,orgf,interferon-alpha production
C1819432,orgf,interferon-beta production
C1819433,orgf,interferon-gamma production
C1819435,orgf,interleukin-1 beta production
C1819436,orgf,interleukin-1 production
C1819437,orgf,interleukin-10 production
C1819439,orgf,interleukin-12 production
C1819440,orgf,interleukin-13 production
C1819442,orgf,interleukin-15 production
C1819444,orgf,interleukin-17 production
C1819445,orgf,interleukin-18 production
C1819447,orgf,interleukin-2 production
C1819449,orgf,interleukin-21 production
C1819450,orgf,interleukin-22 production
C1819451,orgf,interleukin-23 production
C1819453,orgf,interleukin-25 production
C1819455,orgf,interleukin-27 production
C1819457,orgf,interleukin-4 production
C1819458,orgf,interleukin-5 production
C1819459,orgf,interleukin-6 production
C1819460,orgf,interleukin-7 production
C1819461,orgf,interleukin-8 production
C1819462,orgf,interleukin-9 production
C1819463,orgf,TRAIL production
C1819464,orgf,tumor necrosis factor production
C1819767,orgf,innate immune response-activating signal transduction
C1820238,orgf,dendrite morphogenesis
C1820370,orgf,flowering
C1855163,orgf,METHANE PRODUCTION
C2247951,orgf,type III interferon production
C2255937,orgf,electrolyte homeostasis
C2256382,orgf,vagal reflex
C2262729,orgf,phosphate ion homeostasis
C2262730,orgf,chloride ion homeostasis
C2262801,orgf,uterus development
C2265466,orgf,shoot formation
C2347023,orgf,Biological Absorption
C2350259,orgf,Salt Adaption
C2371181,orgf,Procreation functions
C2584314,orgf,Throwing
C2584321,orgf,Reaching
C2610491,orgf,bone morphogenesis
C2610568,orgf,heart growth
C2610587,orgf,lung growth
C2610594,orgf,mammary gland morphogenesis
C2611805,orgf,Abiotic Stress Response
C2611870,orgf,vascular endothelial growth factor production
C2612241,orgf,macrophage cytokine production
C2752311,orgf,chemokine (C-X-C motif) ligand 9 production
C2752534,orgf,small molecule metabolic process
C2752765,orgf,respiratory system development
C2752783,orgf,developmental growth involved in morphogenesis
C2752965,orgf,prostate gland growth
C2753512,orgf,interleukin-35 production
C2755388,orgf,amino acid homeostasis
C2755389,orgf,cysteine homeostasis
C2755962,orgf,neural cell differentiation
C2756048,orgf,stalk formation
C2825534,orgf,Behavioral Development
C2936272,orgf,Circadian Clocks
C2936375,orgf,Th1-Th2 Balance
C2936483,orgf,Cold-Shock Response
C2981722,orgf,Cardiorespiratory Fitness
C2985348,orgf,Natural Birth
C2985494,orgf,Resorption
C3156137,orgf,thymic stromal lymphopoietin production
C3156166,orgf,chemokine (C-C motif) ligand 11 production
C3156592,orgf,T-helper 17 type immune response
C3156621,orgf,chemokine (C-X-C motif) ligand 1 production
C3156622,orgf,chemokine (C-X-C motif) ligand 2 production
C3156704,orgf,interleukin-31 production
C3156706,orgf,interleukin-32 production
C3156712,orgf,interleukin-33 production
C3159140,orgf,interferon production
C3159141,orgf,interleukin production
C3178757,orgf,Hormesis
C3178758,orgf,Hormetic Dose-Response
C3269238,orgf,antibody-mediated agglutination
C3271329,orgf,defecation rhythm
C3272109,orgf,Hematophagy
C3494405,orgf,Maternal Death
C3546427,orgf,yeast to hyphal transition
C3546669,orgf,response to diuretic
C3548619,orgf,arginine homeostasis
C3548623,orgf,glutamate homeostasis
C3548680,orgf,primary growth
C3658355,orgf,CRISPR-Cas Systems
C3714605,orgf,Pain Perception
C3820784,orgf,macrophage migration inhibitory factor production
C3820786,orgf,chemokine (C-C motif) ligand 17 production
C3820826,orgf,iron acquisition
C3824200,orgf,cartilage homeostasis
C3824609,orgf,cellular response to virus
C3825316,orgf,Bacteria--Adhesion
C3825510,orgf,Viruses--Reproduction
C3825968,orgf,Microbial metabolism
C3826170,orgf,Human growth
C3826356,orgf,"Fertility, Human"
C3850177,orgf,"Inactivation, Metabolic"
C3893395,orgf,thermal nociception
C3896429,orgf,reproductive senescence
C4067879,orgf,Pupillary response
C4082350,orgf,Resting Metabolic Rate
C4234967,orgf,developmental resistance
C4235304,orgf,Adaptive Thermogenesis
C4236771,orgf,walking behavior
C4255265,orgf,Neuronal Outgrowth
